trade_date,ts_code,pe_ttm,pb
20210506,600970.SH,11.8787,1.3624
20210507,600970.SH,12.0431,1.3813
20210510,600970.SH,12.0979,1.3876
20210511,600970.SH,11.8924,1.364
20210512,600970.SH,11.865,1.3609
20210513,600970.SH,11.6184,1.3326
20210514,600970.SH,11.7691,1.3499
20210517,600970.SH,12.413,1.4237
20210518,600970.SH,12.4267,1.4253
20210519,600970.SH,12.4404,1.4269
20210520,600970.SH,12.1527,1.3939
20210521,600970.SH,12.1253,1.3907
20210524,600970.SH,12.002,1.3766
20210525,600970.SH,12.2623,1.4064
20210526,600970.SH,12.3445,1.4159
20210527,600970.SH,12.3993,1.4221
20210528,600970.SH,12.7693,1.4646
20210531,600970.SH,12.7556,1.463
20210601,600970.SH,13.3721,1.5337
20210602,600970.SH,13.6324,1.5636
20210603,600970.SH,13.6735,1.5683
20210604,600970.SH,13.3447,1.588
20210607,600970.SH,13.3036,1.5831
20210608,600970.SH,13.2762,1.5798
20210609,600970.SH,13.2488,1.5765
20210610,600970.SH,14.249,1.6956
20210611,600970.SH,14.0434,1.6711
20210615,600970.SH,13.605,1.6189
20210616,600970.SH,13.1118,1.5602
20210617,600970.SH,13.2214,1.5733
20210618,600970.SH,12.5774,1.4967
20210621,600970.SH,12.1938,1.451
20210622,600970.SH,12.3993,1.4755
20210623,600970.SH,12.4541,1.482
20210624,600970.SH,12.3856,1.4738
20210625,600970.SH,12.5226,1.4901
20210628,600970.SH,12.1664,1.4478
20210629,600970.SH,12.1938,1.451
20210630,600970.SH,12.5637,1.495
20210701,600970.SH,12.4815,1.4852
20210702,600970.SH,12.2897,1.4624
20210705,600970.SH,12.1938,1.451
20210706,600970.SH,12.5089,1.4885
20210707,600970.SH,12.55,1.4934
20210708,600970.SH,12.9474,1.5407
20210709,600970.SH,12.9337,1.5391
20210712,600970.SH,13.1392,1.5635
20210713,600970.SH,13.1392,1.5635
20210714,600970.SH,13.2899,1.5814
20210715,600970.SH,14.4271,1.7168
20210716,600970.SH,14.2353,1.6939
20210719,600970.SH,14.8244,1.764
20210720,600970.SH,15.345,1.826
20210721,600970.SH,15.3313,1.8244
20210722,600970.SH,15.6053,1.857
20210723,600970.SH,15.715,1.87
20210726,600970.SH,15.715,1.87
20210727,600970.SH,15.0984,1.7966
20210728,600970.SH,14.1942,1.689
20210729,600970.SH,15.0573,1.7918
20210730,600970.SH,14.5367,1.7298
20210802,600970.SH,14.797,1.7608
20210803,600970.SH,14.7011,1.7494
20210804,600970.SH,14.7285,1.7526
20210805,600970.SH,14.249,1.6956
20210806,600970.SH,14.5778,1.7347
20210809,600970.SH,14.6189,1.7396
20210810,600970.SH,14.4408,1.7184
20210811,600970.SH,15.0025,1.7852
20210812,600970.SH,14.9203,1.7755
20210813,600970.SH,14.9203,1.7755
20210816,600970.SH,14.5641,1.7331
20210817,600970.SH,14.4956,1.7249
20210819,600970.SH,14.0297,1.6695
20210820,600970.SH,15.2699,1.7704
20210823,600970.SH,16.7887,1.9465
20210824,600970.SH,16.965,1.9669
20210825,600970.SH,16.9921,1.9701
20210826,600970.SH,17.1277,1.9858
20210827,600970.SH,17.3583,2.0125
20210830,600970.SH,17.2769,2.0031
20210831,600970.SH,18.0092,2.088
20210901,600970.SH,17.2227,1.9968
20210902,600970.SH,18.3211,2.1242
20210903,600970.SH,17.9007,2.0754
20210906,600970.SH,17.8329,2.0676
20210907,600970.SH,18.6873,2.1666
20210908,600970.SH,18.3889,2.132
20210909,600970.SH,18.6873,2.1666
20210910,600970.SH,18.5381,2.1493
20210913,600970.SH,19.0534,2.2091
20210914,600970.SH,18.2669,2.1179
20210915,600970.SH,18.1991,2.11
20210916,600970.SH,17.521,2.0314
20210917,600970.SH,17.5617,2.0361
20210922,600970.SH,18.0092,2.088
20210923,600970.SH,17.4125,2.0188
20210924,600970.SH,16.9514,1.9654
20210927,600970.SH,16.5582,1.9198
20210928,600970.SH,16.409,1.9025
20210929,600970.SH,15.7309,1.8239
20210930,600970.SH,15.4597,1.7924
20211008,600970.SH,15.4055,1.7861
20211011,600970.SH,15.1749,1.7594
20211012,600970.SH,14.4426,1.6745
20211013,600970.SH,14.4833,1.6792
20211014,600970.SH,14.5104,1.6823
20211015,600970.SH,14.4019,1.6698
20211018,600970.SH,14.5782,1.6902
20211019,600970.SH,14.4969,1.6808
20211020,600970.SH,14.2799,1.6556
20211021,600970.SH,14.1307,1.6383
20211022,600970.SH,14.1307,1.6383
20211025,600970.SH,14.1443,1.6399
20211026,600970.SH,14.1172,1.6367
20211027,600970.SH,11.6477,1.3585
20211028,600970.SH,11.7272,1.3677
20211029,600970.SH,11.7953,1.3757
20211101,600970.SH,11.9089,1.3889
20211102,600970.SH,14.5958,1.413
20211103,600970.SH,15.0732,1.4592
20211104,600970.SH,14.8706,1.4396
20211105,600970.SH,14.7983,1.4326
20211108,600970.SH,15.7241,1.5222
20211109,600970.SH,16.2159,1.5698
20211110,600970.SH,16.1581,1.5642
20211111,600970.SH,16.0568,1.5544
20211112,600970.SH,16.3461,1.5824
20211115,600970.SH,16.5197,1.5992
20211116,600970.SH,16.5197,1.5992
20211117,600970.SH,16.2015,1.5684
20211118,600970.SH,16.0423,1.553
20211119,600970.SH,15.97,1.546
20211122,600970.SH,15.9411,1.5432
20211123,600970.SH,15.9845,1.5474
20211124,600970.SH,16.2449,1.5726
20211125,600970.SH,16.6436,1.6112
20211126,600970.SH,16.6581,1.6126
20211129,600970.SH,16.7016,1.6168
20211130,600970.SH,16.9481,1.6407
20211201,600970.SH,17.3975,1.6842
20211202,600970.SH,17.1366,1.6589
20211203,600970.SH,17.1076,1.6561
20211206,600970.SH,16.8031,1.6266
20211207,600970.SH,16.6291,1.6098
20211208,600970.SH,17.1366,1.6589
20211209,600970.SH,16.9626,1.6421
20211210,600970.SH,16.6291,1.6098
20211213,600970.SH,16.4262,1.5901
20211214,600970.SH,16.1507,1.5635
20211215,600970.SH,17.76,1.7193
20211216,600970.SH,17.47,1.6912
20211217,600970.SH,17.3685,1.6814
20211220,600970.SH,17.4845,1.6926
20211221,600970.SH,16.8466,1.6309
20211222,600970.SH,16.5712,1.6042
20211223,600970.SH,16.9336,1.6393
20211224,600970.SH,16.6871,1.6154
20211227,600970.SH,16.4842,1.5958
20211228,600970.SH,16.3247,1.5803
20211229,600970.SH,16.2812,1.5761
20211230,600970.SH,16.3537,1.5831
20211231,600970.SH,16.5712,1.6042
20220104,600970.SH,16.3102,1.5789
20220105,600970.SH,15.5563,1.5059
20220106,600970.SH,16.0782,1.5565
20220107,600970.SH,16.0492,1.5537
20220110,600970.SH,15.9912,1.548
20220111,600970.SH,15.7448,1.5242
20220112,600970.SH,15.6433,1.5144
20220113,600970.SH,15.3823,1.4891
20220114,600970.SH,15.0779,1.4596
20220117,600970.SH,15.1504,1.4666
20220118,600970.SH,15.4403,1.4947
20220119,600970.SH,15.4113,1.4919
20220120,600970.SH,15.3243,1.4835
20220121,600970.SH,15.2228,1.4737
20220124,600970.SH,15.3968,1.4905
20220125,600970.SH,14.7154,1.4245
20220126,600970.SH,14.8459,1.4372
20220127,600970.SH,14.7444,1.4273
20220128,600970.SH,14.7734,1.4302
20220207,600970.SH,15.1069,1.4624
20220208,600970.SH,15.3243,1.4835
20220209,600970.SH,15.3388,1.4849
20220210,600970.SH,15.4258,1.4933
20220211,600970.SH,15.1938,1.4709
20220214,600970.SH,15.1359,1.4652
20220215,600970.SH,15.1504,1.4666
20220216,600970.SH,15.5418,1.5045
20220217,600970.SH,15.1214,1.4638
20220218,600970.SH,15.1214,1.4638
20220221,600970.SH,15.3098,1.4821
20220222,600970.SH,15.0634,1.4582
20220223,600970.SH,15.1214,1.4638
20220224,600970.SH,14.5994,1.4133
20220225,600970.SH,14.6719,1.4203
20220228,600970.SH,14.5704,1.4105
20220301,600970.SH,14.7879,1.4316
20220302,600970.SH,14.7879,1.4316
20220303,600970.SH,14.8169,1.4344
20220304,600970.SH,14.5269,1.4063
20220307,600970.SH,14.5124,1.4049
20220308,600970.SH,13.773,1.3333
20220309,600970.SH,13.5991,1.3165
20220310,600970.SH,13.5846,1.3151
20220311,600970.SH,13.6716,1.3235
20220314,600970.SH,13.2801,1.2856
20220315,600970.SH,12.4392,1.2042
20220316,600970.SH,12.9177,1.2505
20220317,600970.SH,13.0481,1.2631
20220318,600970.SH,13.5556,1.3123
20220321,600970.SH,13.4396,1.301
20220322,600970.SH,13.4686,1.3038
20220323,600970.SH,11.6209,1.6139
20220324,600970.SH,11.5351,1.602
20220325,600970.SH,11.4615,1.5917
20220328,600970.SH,11.4615,1.5917
20220329,600970.SH,11.4247,1.5866
20220330,600970.SH,11.6576,1.619
20220331,600970.SH,11.7434,1.6309
20220401,600970.SH,11.8905,1.6513
20220406,600970.SH,11.9518,1.6598
20220407,600970.SH,11.768,1.6343
20220408,600970.SH,11.7925,1.6377
20220411,600970.SH,11.1918,1.5543
20220412,600970.SH,11.3634,1.5781
20220413,600970.SH,11.339,1.5419
20220414,600970.SH,11.2389,1.5282
20220415,600970.SH,11.0887,1.5078
20220418,600970.SH,10.8634,1.4772
20220419,600970.SH,10.8759,1.4789
20220420,600970.SH,10.5505,1.4346
20220421,600970.SH,9.9998,1.3598
20220422,600970.SH,10.15,1.3802
20220425,600970.SH,9.2865,1.2628
20220426,600970.SH,9.3866,1.2764
20220427,600970.SH,8.743,1.2597
20220428,600970.SH,8.6974,1.2531
20220429,600970.SH,8.9026,1.2826
20220505,600970.SH,9.2788,1.3368
20220506,600970.SH,9.0052,1.2974
20220509,600970.SH,9.1648,1.3204
20220510,600970.SH,9.4269,1.3582
20220511,600970.SH,9.2902,1.3385
20220512,600970.SH,9.4156,1.3565
20220513,600970.SH,9.4042,1.3549
20220516,600970.SH,9.4042,1.3549
20220517,600970.SH,9.3586,1.3483
20220518,600970.SH,9.3016,1.3401
20220519,600970.SH,9.3928,1.3533
20220520,600970.SH,9.5295,1.373
20220523,600970.SH,9.4269,1.3582
20220524,600970.SH,9.0052,1.2974
20220525,600970.SH,9.5067,1.3697
20220526,600970.SH,9.5523,1.3763
20220527,600970.SH,9.6777,1.3943
20220530,600970.SH,9.6777,1.3943
20220531,600970.SH,9.7461,1.4042
20220601,600970.SH,9.5637,1.3779
20220602,600970.SH,9.3358,1.3979
20220606,600970.SH,9.6663,1.4473
20220607,600970.SH,10.6352,1.5924
20220608,600970.SH,10.2021,1.5276
20220609,600970.SH,10.1679,1.5224
20220610,600970.SH,10.1907,1.5259
20220613,600970.SH,10.0083,1.4986
20220614,600970.SH,10.0083,1.4986
20220615,600970.SH,10.0653,1.5071
20220616,600970.SH,9.9171,1.4849
20220617,600970.SH,10.1793,1.5242
20220620,600970.SH,11.1938,1.6761
20220621,600970.SH,10.5554,1.5805
20220622,600970.SH,10.4985,1.5719
20220623,600970.SH,10.5327,1.5771
20220624,600970.SH,10.6808,1.5993
20220627,600970.SH,10.943,1.6385
20220628,600970.SH,11.2508,1.6846
20220629,600970.SH,10.9886,1.6453
20220630,600970.SH,11.0456,1.6539
20220701,600970.SH,10.9202,1.6351
20220704,600970.SH,10.9202,1.6351
20220705,600970.SH,10.943,1.6385
20220706,600970.SH,10.715,1.6044
20220707,600970.SH,11.0342,1.6522
20220708,600970.SH,11.2052,1.6778
20220711,600970.SH,11.3648,1.7017
20220712,600970.SH,11.1368,1.6675
20220713,600970.SH,11.2052,1.6778
20220714,600970.SH,11.171,1.6726
20220715,600970.SH,11.1938,1.6761
20220718,600970.SH,11.0798,1.659
20220719,600970.SH,11.2736,1.688
20220720,600970.SH,11.1938,1.6761
20220721,600970.SH,11.114,1.6641
20220722,600970.SH,11.228,1.6812
20220725,600970.SH,11.0114,1.6487
20220726,600970.SH,11.2508,1.6846
20220727,600970.SH,11.399,1.7068
20220728,600970.SH,11.2394,1.6829
20220729,600970.SH,11.228,1.6812
20220801,600970.SH,11.1026,1.6624
20220802,600970.SH,10.6466,1.5941
20220803,600970.SH,10.6352,1.5924
20220804,600970.SH,10.7492,1.6095
20220805,600970.SH,10.8062,1.618
20220808,600970.SH,10.6808,1.5993
20220809,600970.SH,11.0456,1.6539
20220810,600970.SH,11.5928,1.7358
20220811,600970.SH,11.9689,1.7921
20220812,600970.SH,12.1057,1.8126
