trade_date,ts_code,pe_ttm,pb
20260427,605183.SH,16.7756,1.9418
20260428,605183.SH,16.1873,1.8737
20260429,605183.SH,16.415,1.9001
20260430,605183.SH,16.1019,1.8638
20260506,605183.SH,16.1873,1.8737
20260507,605183.SH,16.3202,1.8891
20260508,605183.SH,16.5289,1.9133
20260511,605183.SH,16.1778,1.8726
20260512,605183.SH,15.7508,1.8232
20260513,605183.SH,15.637,1.81
20260514,605183.SH,15.656,1.8122
20260515,605183.SH,15.4282,1.7858
20260518,605183.SH,15.3334,1.7749
20260519,605183.SH,15.4567,1.7891
20260520,605183.SH,15.2005,1.7595
