trade_date,ts_code,pe_ttm,pb
20210506,688196.SH,23.6781,2.7424
20210507,688196.SH,22.8469,2.6461
20210510,688196.SH,22.7106,2.6304
20210511,688196.SH,22.8014,2.6409
20210512,688196.SH,22.8332,2.6446
20210513,688196.SH,22.6879,2.6277
20210514,688196.SH,23.5418,2.7266
20210517,688196.SH,23.133,2.6793
20210518,688196.SH,22.9831,2.6619
20210519,688196.SH,22.647,2.623
20210520,688196.SH,22.6243,2.6204
20210521,688196.SH,22.4199,2.5967
20210524,688196.SH,22.4426,2.5993
20210525,688196.SH,23.7417,2.7498
20210526,688196.SH,23.5191,2.724
20210527,688196.SH,23.0376,2.7885
20210528,688196.SH,22.8014,2.7599
20210531,688196.SH,23.7008,2.8688
20210601,688196.SH,23.5872,2.8551
20210602,688196.SH,23.5464,2.8501
20210603,688196.SH,24.1595,2.9243
20210604,688196.SH,24.3321,2.9452
20210607,688196.SH,24.2776,2.9386
20210608,688196.SH,24.4684,2.9617
20210609,688196.SH,24.4502,2.9595
20210610,688196.SH,24.0142,2.9067
20210611,688196.SH,23.6781,2.8661
20210615,688196.SH,23.5509,2.8507
20210616,688196.SH,23.1194,2.7984
20210617,688196.SH,23.2057,2.8089
20210618,688196.SH,23.2057,2.8089
20210621,688196.SH,24.2368,2.9337
20210622,688196.SH,25.2996,3.0623
20210623,688196.SH,26.04,3.1519
20210624,688196.SH,26.3398,3.1882
20210625,688196.SH,26.7077,3.2328
20210628,688196.SH,27.1392,3.285
20210629,688196.SH,26.5941,3.219
20210630,688196.SH,26.8803,3.2537
20210701,688196.SH,25.4359,3.0788
20210702,688196.SH,26.4442,3.2009
20210705,688196.SH,25.9718,3.1437
20210706,688196.SH,25.7175,3.1129
20210707,688196.SH,25.9991,3.147
20210708,688196.SH,26.5487,3.2135
20210709,688196.SH,25.8038,3.1234
20210712,688196.SH,25.8038,3.1234
20210713,688196.SH,25.6539,3.1052
20210714,688196.SH,25.7902,3.1217
20210715,688196.SH,24.5502,2.9716
20210716,688196.SH,24.4911,2.9645
20210719,688196.SH,24.2231,2.932
20210720,688196.SH,23.6644,2.8644
20210721,688196.SH,24.4094,2.9546
20210722,688196.SH,24.6728,2.9865
20210723,688196.SH,24.3685,2.9496
20210726,688196.SH,25.1679,3.0464
20210727,688196.SH,24.6455,2.9832
20210728,688196.SH,23.9869,2.9034
20210729,688196.SH,25.5176,3.0887
20210730,688196.SH,24.7909,3.0008
20210802,688196.SH,26.1036,3.1596
20210803,688196.SH,25.3132,3.064
20210804,688196.SH,26.1444,3.1646
20210805,688196.SH,25.5403,3.0915
20210806,688196.SH,26.417,3.1976
20210809,688196.SH,26.258,3.1783
20210810,688196.SH,25.6176,3.1008
20210811,688196.SH,25.7765,3.1201
20210812,688196.SH,25.5494,3.0926
20210813,688196.SH,25.8583,3.13
20210816,688196.SH,29.869,3.6154
20210817,688196.SH,31.2854,2.8289
20210818,688196.SH,29.0911,2.6305
20210819,688196.SH,29.1267,2.6337
20210820,688196.SH,29.1862,2.6391
20210823,688196.SH,29.5014,2.6676
20210824,688196.SH,29.0375,2.6257
20210825,688196.SH,29.0019,2.6224
20210826,688196.SH,28.7402,2.5988
20210827,688196.SH,28.9127,2.6144
20210830,688196.SH,28.6867,2.5939
20210831,688196.SH,28.8889,2.6122
20210901,688196.SH,28.9543,2.6181
20210902,688196.SH,28.6629,2.5918
20210903,688196.SH,29.0257,2.6246
20210906,688196.SH,28.877,2.6111
20210907,688196.SH,28.7224,2.5972
20210908,688196.SH,28.7402,2.5988
20210909,688196.SH,29.4954,2.6671
20210910,688196.SH,30.1496,2.7262
20210913,688196.SH,31.8622,2.8811
20210914,688196.SH,30.9643,2.7999
20210915,688196.SH,31.101,2.8123
20210916,688196.SH,31.22,2.823
20210917,688196.SH,29.9593,2.709
20210922,688196.SH,29.7511,2.6902
20210923,688196.SH,30.1496,2.7262
20210924,688196.SH,29.0375,2.6257
20210927,688196.SH,27.4141,2.4789
20210928,688196.SH,27.652,2.5004
20210929,688196.SH,26.6291,2.4079
20210930,688196.SH,27.2952,2.4681
20211008,688196.SH,28.425,2.5703
20211011,688196.SH,27.7769,2.5117
20211012,688196.SH,28.544,2.581
20211013,688196.SH,28.9008,2.6133
20211014,688196.SH,28.7818,2.6025
20211015,688196.SH,28.7224,2.5972
20211018,688196.SH,29.3051,2.6499
20211019,688196.SH,30.0366,2.716
20211020,688196.SH,31.993,2.8929
20211021,688196.SH,32.1298,2.9053
20211022,688196.SH,31.9752,2.8913
20211025,688196.SH,32.3201,2.9225
